EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,JobInvolvement,PerformanceRating,Mean_In_Time,Mean_Out_Time,Mean_Duration_Hours,Attrition_Yes
-0.6654597159581094,0.2413787659085449,0.3362060901847455,0.4463504035345031,-1.0109093429124179,1.0617867539482457,-0.9614863916702531,-0.26473380118643547,-0.67846359583741,-0.3305890744344257,-0.9320143892374165,-0.16431548950994934,-0.6201892226844656,0.48850772848886465,-0.6791456840737199,1.086895217551534,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.785510994007814,-0.42623001504290287,-0.12924383758440866,0.160526497250934,0.1623661361666734,0
0.25220049272708844,1.1488641518051204,0.3362060901847455,-0.3201625558062908,-1.0109093429124179,-1.8684257522543597,-0.05778754527941421,-0.8088916282756102,0.12358022071344858,2.1293060069870897,-0.9320143892374165,-0.6788770437360288,0.15570708143992978,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.37967212888114743,2.346151056253851,0.015164920754728516,-0.4622776365327583,-0.462664816457832,0
0.25220049272708844,-0.6661066199880306,0.3362060901847455,-1.7436866231534796,0.09963874367159682,-0.8916882501868245,-0.9614863916702531,-0.2400862775853639,-0.67846359583741,-0.8772324258614291,0.24198831185855807,-1.322078986518628,-0.6201892226844656,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.37967212888114743,-0.42623001504290287,0.8013903828230337,-1.290014193767864,-1.3012658490192612,1
-1.5831199246433072,-0.6661066199880306,0.3362060901847455,-0.9771736638126857,-0.270543951856408,0.08504925188071055,-0.05778754527941421,-0.749397605790265,-0.67846359583741,-0.3305890744344257,-0.9320143892374165,-1.322078986518628,0.15570708143992978,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.37967212888114743,-0.42623001504290287,0.2718916022464367,-1.054785530313075,-1.0588733198469042,1
-1.5831199246433072,-0.6661066199880306,-1.0853364387843123,0.33684855220010396,-1.0109093429124179,1.0617867539482457,-0.05778754527941421,2.7046553567874874,-0.2774416875619807,-0.3305890744344257,0.24198831185855807,-0.035675100953429496,0.15570708143992978,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.37967212888114743,-0.42623001504290287,-0.14528925517758912,-1.1934990291856769,-1.1919898942349714,0
1.1698607014122862,-1.5735920058846058,-1.0853364387843123,-1.5246829204846812,-0.8875151110697495,1.0617867539482457,-0.05778754527941421,-0.06882848428826326,-0.67846359583741,-1.1505541015749308,-0.9320143892374165,-1.322078986518628,0.15570708143992978,-0.9810141559830953,-0.3687152874355457,-1.1559347102263289,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.37967212888114743,-0.42623001504290287,-1.8140126848733846,0.15792967667921562,0.18250646486079566,1
1.1698607014122862,1.1488641518051204,0.3362060901847455,0.4463504035345031,-0.8875151110697495,-0.8916882501868245,-0.9614863916702531,-0.8745475316612232,0.12358022071344858,0.4893759527060795,0.24198831185855807,0.09296528760309035,-1.3960855268088612,-0.32789331844000197,-0.3687152874355457,-1.1559347102263289,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-2.4320056013721856,-0.42623001504290287,0.7211632948568235,-0.003938805624538235,-0.013648947096707829,0
-0.6654597159581094,-1.5735920058846058,-2.5068789677533703,-0.6486681098094882,-0.02375548817107146,-1.8684257522543597,-0.9614863916702531,2.6440989410434756,-0.2774416875619807,-0.8772324258614291,1.4159910129545328,-0.29295587806646917,-0.6201892226844656,-0.6544537372115486,-0.3687152874355457,-0.5952272282818631,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0261667362455191,-0.42623001504290287,0.0633011735343725,-0.7340781897059068,-0.7353273945753452,1
1.1698607014122862,-1.5735920058846058,-1.0853364387843123,1.3223652142096962,-0.8875151110697495,1.0617867539482457,-0.9614863916702531,-0.4835868124718123,0.5246021289888778,0.7626976284195812,-0.9320143892374165,0.7361672303856895,0.15570708143992978,-0.8177339465973219,-0.058284890797371494,-0.5952272282818631,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1.0261667362455191,-0.42623001504290287,-1.1561505635509337,1.4401098339649625,1.4562690116035157,0
1.1698607014122862,-0.6661066199880306,-1.0853364387843123,-1.0866755151470848,0.7166099028849382,0.08504925188071055,-0.9614863916702531,-0.5347941675395558,-0.67846359583741,-0.8772324258614291,1.4159910129545328,-0.5502366551795089,0.15570708143992978,-0.0013328996684553085,-0.6791456840737199,-0.3148734873096303,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.37967212888114743,-0.42623001504290287,-1.027787222805182,-0.1433015096400717,-0.12943692700160978,0
